Year,Month,Rainfall,Date
2015,2,-19993.45596500903,2015-02-01
2015,3,-22126.546495069717,2015-03-01
2015,4,-21407.70092467673,2015-04-01
2015,5,-22125.42529666092,2015-05-01
2015,6,-21371.8747347338,2015-06-01
2015,7,-22073.48197644552,2015-07-01
2015,8,-22082.8174979234,2015-08-01
2015,9,-21391.807602612967,2015-09-01
2015,10,-22129.904393303856,2015-10-01
2015,11,-21415.65423182344,2015-11-01
2015,12,-22137.301027780093,2015-12-01
2016,1,-22139.36885645382,2016-01-01
2016,2,-20709.9040753498,2016-02-01
2016,3,-22132.77643159844,2016-03-01
2016,4,-21414.085072126745,2016-04-01
2016,5,-22120.10224870689,2016-05-01
2016,6,-21385.0033623013,2016-06-01
2016,7,-22052.172629026256,2016-07-01
2016,8,-22076.088421889064,2016-08-01
2016,9,-21379.56859308812,2016-09-01
2016,10,-22125.976474429262,2016-10-01
2016,11,-21425.261677826205,2016-11-01
2016,12,-22139.543982030733,2016-12-01
2017,1,-22136.09460590052,2017-01-01
2017,2,-19995.365822507185,2017-02-01
2017,3,-22132.727986500664,2017-03-01
2017,4,-21412.68331932611,2017-04-01
2017,5,-22124.369547299582,2017-05-01
2017,6,-21378.532788837976,2017-06-01
2017,7,-22058.51836086096,2017-07-01
2017,8,-22075.447996501025,2017-08-01
2017,9,-21383.92568735868,2017-09-01
2017,10,-22118.10508088109,2017-10-01
2017,11,-21422.9886046714,2017-11-01
2017,12,-22137.79217675125,2017-12-01
2018,1,-22140.755270552578,2018-01-01
2018,2,-19995.9277361104,2018-02-01
2018,3,-22136.185741697616,2018-03-01
2018,4,-21415.735999475382,2018-04-01
2018,5,-22122.46557222031,2018-05-01
2018,6,-21381.777978009,2018-06-01
2018,7,-22063.301069468936,2018-07-01
2018,8,-22075.7944934277,2018-08-01
2018,9,-21389.68620364859,2018-09-01
2018,10,-22131.07584355056,2018-10-01
2018,11,-21421.501922625604,2018-11-01
2018,12,-22137.706321034508,2018-12-01
2019,1,-22137.37488180571,2019-01-01
2019,2,-19990.22123117944,2019-02-01
2019,3,-22136.239735344323,2019-03-01
2019,4,-21418.27557422468,2019-04-01
2019,5,-22124.537101053706,2019-05-01
2019,6,-21395.02079808605,2019-06-01
2019,7,-22057.271498254977,2019-07-01
2019,8,-22056.91529766285,2019-08-01
2019,9,-21354.68187033707,2019-09-01
2019,10,-22111.164010519995,2019-10-01
2019,11,-21418.909328948645,2019-11-01
2019,12,-22136.519181959968,2019-12-01
2020,1,-22132.880479285053,2020-01-01
2020,2,-20709.595543733296,2020-02-01
2020,3,-22131.127072951927,2020-03-01
2020,4,-21414.735297965253,2020-04-01
2020,5,-22120.399319233304,2020-05-01
2020,6,-21370.64864894129,2020-06-01
2020,7,-22066.686628644275,2020-07-01
2020,8,-22051.129774641588,2020-08-01
2020,9,-21376.458904333693,2020-09-01
2020,10,-22119.68963594728,2020-10-01
2020,11,-21418.765383793077,2020-11-01
2020,12,-22137.116948228133,2020-12-01
2021,1,-22136.308254859294,2021-01-01
2021,2,-19996.724112921856,2021-02-01
2021,3,-22136.850664269656,2021-03-01
2021,4,-21418.16362170847,2021-04-01
2021,5,-22109.553235520754,2021-05-01
2021,6,-21374.4481139684,2021-06-01
2021,7,-22067.907082105216,2021-07-01
2021,8,-22084.726913075363,2021-08-01
2021,9,-21363.941256542857,2021-09-01
2021,10,-22113.54615624976,2021-10-01
2021,11,-21411.569980223285,2021-11-01
2021,12,-22135.89691585869,2021-12-01
2022,1,-22131.81206305365,2022-01-01
2022,2,-19993.58834501563,2022-02-01
2022,3,-22138.57426843913,2022-03-01
2022,4,-21414.043249605893,2022-04-01
2022,5,-22117.04118183543,2022-05-01
2022,6,-21381.66217026767,2022-06-01
2022,7,-22049.830365935915,2022-07-01
2022,8,-22068.12304765104,2022-08-01
2022,9,-21375.859873506284,2022-09-01
2022,10,-22109.70094214251,2022-10-01
2022,11,-21422.45508550142,2022-11-01
2022,12,-22137.806348086026,2022-12-01
2023,1,-22138.57755302284,2023-01-01
2023,2,-19996.48426496773,2023-02-01
2023,3,-22131.104168797283,2023-03-01
2023,4,-21415.47803431475,2023-04-01
2023,5,-22122.153113545708,2023-05-01
2023,6,-21383.143081014416,2023-06-01
2023,7,-22052.90138878533,2023-07-01
2023,8,-22095.1173406316,2023-08-01
2023,9,-21375.289555840078,2023-09-01
2023,10,-22132.13017257097,2023-10-01
2023,11,-21418.21210292911,2023-11-01
2023,12,-22134.615316564872,2023-12-01
2024,1,-22139.571916295376,2024-01-01
2024,2,-20707.19605396844,2024-02-01
2024,3,-22133.73719844123,2024-03-01
2024,4,-21418.28429149438,2024-04-01
2024,5,-22121.93902820954,2024-05-01
2024,6,-21384.086008353,2024-06-01
2024,7,-22052.92369676119,2024-07-01
2024,8,-22057.752689391116,2024-08-01
2024,9,-21374.296340883902,2024-09-01
2024,10,-22119.47728453435,2024-10-01
2024,11,-21423.51422789665,2024-11-01
2024,12,-22133.891612137708,2024-12-01
2025,1,-22140.11220010435,2025-01-01
2025,2,-19995.063194453865,2025-02-01
2025,3,-22135.496270060637,2025-03-01
2025,4,-21415.343436841547,2025-04-01
2025,5,-22104.12757711525,2025-05-01
2025,6,-21376.0751290511,2025-06-01
2025,7,-22059.10854356152,2025-07-01
2025,8,-22067.24028547359,2025-08-01
2025,9,-21372.727746572866,2025-09-01
2025,10,-22109.936888748707,2025-10-01
2025,11,-21422.07073388268,2025-11-01
2025,12,-22140.111084320088,2025-12-01
